rank,item_id,outlet,type,language,title,url,published_at,R,S,D,I,r_people,signal_mult,logos,ethos,pathos,d_raw,topics,prompt_version,reach_flag,content_basis,content_access,word_count,fetch_method,r_basis,justification
328,f1dcd0c78fcacde3,The Atlantic,print_digital,en,08 / dan-sullivan-alaska-senate-midterms / 688456,https://www.theatlantic.com/politics/2026/08/dan-sullivan-alaska-senate-midterms/688456/?utm_source=feed,2026-08-30T11:00:00+00:00,0.00006598,0.062000,0.466667,0.00000191,17287.500000,,6,4,4,14,democracy_elections:0.80; other:0.20,score_v2,ok,full_text,paywalled,1942,rss_fulltext,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Feature relies on original reporting, interviews with multiple named Dan Sullivans, campaign finance figures, court rulings, and historical analogues—substantial evidentiary texture but light analytic argument. Journalistic ethos, no single dominant authority. Playful, human-interest tone with mild whimsy rather than strong emotional appeal.'"
329,63a1a68b2375938b,The New Yorker,print_digital,en,Was “Defund the Police” Crazy?,https://www.newyorker.com/news/the-lede/was-defund-the-police-crazy,2026-09-01T10:00:00+00:00,0.00003922,0.080500,0.600000,0.00000189,10275.000000,,8,6,4,18,crime:0.40; government_leadership:0.25; race_relations:0.20; poverty_homelessness:0.15,score_v2,scope_global,full_text,paywalled,2272,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Essay marshals extensive polling data, historical timelines, and named policy examples to argue defund-the-police ideas retain merit despite political retreat. Written under New Yorker byline authority but no single dominant voice; moderate emotional framing via references to police killings and activism."
330,4489fa7b33b6c69f,The New Yorker,print_digital,en,The MAHA Custody Battle,https://www.newyorker.com/magazine/2026/09/07/the-maha-custody-battle,2026-08-31T10:00:00+00:00,0.00003922,0.074500,0.633333,0.00000185,10275.000000,,7,5,7,19,healthcare:0.55; government_leadership:0.15; ethics_morality:0.15; other:0.15,score_v2,scope_global,full_text,paywalled,8510,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Long-form New Yorker narrative journalism combining case studies, expert interviews, statistics on measles/vaccination, and historical context on MAHA movement, alongside vivid personal anecdotes about a custody battle, giving strong logos and pathos; institutional but not personally authoritative voice yields moderate ethos."
331,7e42fc395131bae0,Slate,print_digital,en,Voters Say They Want Younger Politicians but Keep Voting for Old Ones. I Think I Know What’s Really Going On.,https://slate.com/news-and-politics/2026/09/massachusetts-primary-results-ed-markey-seth-moulton.html?via=rss,2026-09-02T21:28:09+00:00,0.00004308,0.096000,0.433333,0.00000179,11287.500000,,6,4,3,13,democracy_elections:0.70; government_leadership:0.20; healthcare:0.10,score_v2,scope_global,full_text,open,1241,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Analytical piece weighing multiple explanatory theories (ideology, incumbency, health) with polling data and specific races cited. Written by a Slate newsletter columnist with moderate outlet authority but no strong personal ethos claim. Tone is measured and analytical, not emotionally charged, aside from brief asides."
332,6492d842bfc2513e,Newsweek,print_digital,en,US Embassy issues warning over another disaster in Nepal,https://www.newsweek.com/us-embassy-issues-warning-over-another-disaster-in-nepal-12399129,2026-09-03T15:15:00+00:00,0.00008822,0.043000,0.466667,0.00000177,23112.500000,,6,5,3,14,environment:0.70; foreign_policy_wars:0.30,score_v2,scope_global,full_text,paywalled,606,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Factual disaster report citing embassy alerts, death tolls, and geographic details. Institutional sourcing (US Embassy) gives moderate ethos; some data/evidence but no deep analysis; emotional content limited to casualty figures rather than vivid narrative."
333,42e15beb1f148bc5,Daily Kos,print_digital,en,Democrats expose GOP’s data center kickbacks,https://www.dailykos.com/stories/2026/9/3/800093453/news/democrats-expose-gop-data-center-kickbacks/,2026-09-03T16:30:00+00:00,0.00002047,0.173000,0.466667,0.00000165,5362.500000,,5,5,4,14,economy:0.40; government_leadership:0.30; ai_technology:0.20; poverty_homelessness:0.10,score_v2,scope_global,full_text,open,429,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Article cites quotes from multiple lawmakers, polling data, and specifics of the Opportunity Zones provision, offering moderate evidentiary support. No single dominant authorial voice; relies on politicians' quoted authority. Tone is critical but not highly emotional, with some charged language like 'kickbacks' and 'unpopular.'"
334,d9078a0ff874faf1,Axios,print_digital,en,09 / 03 / altman-government-scrutiny-ai-g20,https://www.axios.com/2026/09/03/altman-government-scrutiny-ai-g20,2026-09-03T09:30:07+00:00,0.00005940,0.057000,0.466667,0.00000158,15562.500000,,5,7,2,14,ai_technology:0.75; government_leadership:0.15; foreign_policy_wars:0.10,score_v2,ok,full_text,open,573,rss_fulltext,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Reports Altman's and Huang's statements on AI regulation, government review of Astra, and Congressional inaction, with quotes but limited independent evidence. Altman's CEO status gives high ethos with tech/policy audiences. Little emotional language; mostly measured, policy-oriented commentary."
335,a71ebfe1d8138b63,The New Yorker,print_digital,en,Susan Te Kahurangi King’s Way of Seeing,https://www.newyorker.com/magazine/2026/09/07/susan-te-kahurangi-kings-way-of-seeing,2026-08-30T10:00:00+00:00,0.00003922,0.067000,0.600000,0.00000158,10275.000000,,4,6,8,18,other:0.90; healthcare:0.10,score_v2,scope_global,full_text,paywalled,5862,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","A New Yorker profile of artist Susan Te Kahurangi King, rich in narrative detail, family history, and testimony from curators, gallerists, and relatives rather than formal argument. The writer's authority derives from firsthand access and reporting. Emotionally vivid throughout—covering illness, institutionalization, family loss, and artistic revelation."
336,3fa03ba6483e163c,The Daily Wire,print_digital,en,news / exclusive-china-dsa-and-unions-are-teaming-up-to-transform-america-conservative-group-warns,https://www.dailywire.com/news/exclusive-china-dsa-and-unions-are-teaming-up-to-transform-america-conservative-group-warns,2026-09-03T11:29:07+00:00,0.00001703,0.196500,0.466667,0.00000156,4462.500000,,4,5,5,14,economy:0.40; foreign_policy_wars:0.35; government_leadership:0.25,score_v2,scope_global,full_text,open,698,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Cites think tank claims, Boeing strike details, and survey stats, but relies heavily on one-sided assertions from Independent Women without addressing counterarguments. Ethos comes from named institutional spokespeople, moderate standing. Pathos moderate via alarmist language about infiltration, national security threats, and 'servitude and misery.'"
337,78023bae29d68000,Daily Kos,print_digital,en,Jasmine Crockett’s down-ballot slate starts to take shape as she steers clear of Senate race,https://www.dailykos.com/stories/2026/9/3/800092946/news/jasmine-crocketts-down-ballot-slate-starts-to-take-shape-as-she-steers-clear-of-senate-race/,2026-09-03T13:00:00+00:00,0.00002047,0.155000,0.466667,0.00000148,5362.500000,,6,6,2,14,government_leadership:0.50; democracy_elections:0.50,score_v2,scope_global,full_text,open,773,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Straightforward campaign-strategy reporting with quotes, polling data, fundraising figures, and specific race details. Crockett has moderate ethos as a sitting congresswoman with a PAC; little emotional language, mostly factual and analytical framing of her down-ballot strategy versus Talarico."
338,4c1c425f67bb3619,The Daily Beast,print_digital,en,obsessed / gal-gadot-makes-embarrassing-confession-about-hosting-snl,https://www.thedailybeast.com/obsessed/gal-gadot-makes-embarrassing-confession-about-hosting-snl/,2026-09-03T18:01:57+00:00,0.00008616,0.070000,0.233333,0.00000141,22575.000000,,1,3,3,7,other:1.00,score_v2,scope_global,full_text,open,391,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Light celebrity gossip piece about Gal Gadot recounting her SNL hosting experience. No policy topics; purely entertainment anecdote. Minimal argumentation, moderate personal storytelling with some humor and light emotional color, mild celebrity name-recognition ethos."
339,e969a8b6764a41fa,The Daily Wire,print_digital,en,news / congress-just-admitted-a-key-9-11-security-gap-remains,https://www.dailywire.com/news/congress-just-admitted-a-key-9-11-security-gap-remains,2026-09-03T12:58:24+00:00,0.00001703,0.145500,0.566667,0.00000140,4462.500000,,8,6,3,17,foreign_policy_wars:0.40; immigration:0.35; government_leadership:0.25,score_v2,scope_global,full_text,open,1474,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Detailed, evidence-based account citing a House Intelligence Committee report, DHS rules, historical 9/11 Commission findings and statistics; relies on official/institutional authority rather than a personal voice; measured tone with limited emotional appeal beyond the 9/11 narrative recounting."
340,9dc3581607a9f9e0,Slate,print_digital,en,Meeting Gloria Steinem Was the Best Celebrity Interaction I Ever Had. Now I Understand Why.,https://slate.com/news-and-politics/2026/09/gloria-steinem-death-feminism-legacy-abortion.html?via=rss,2026-09-03T18:02:27+00:00,0.00004308,0.056000,0.566667,0.00000137,11287.500000,,3,6,8,17,abortion:0.55; ethics_morality:0.20; government_leadership:0.15; other:0.10,score_v2,scope_global,full_text,open,1175,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","A personal tribute/memoir on Gloria Steinem's death, blending anecdote with feminist and abortion-rights history. Little argumentation beyond narrative claims; author's authority is journalistic/experiential; emotionally charged reflection on loss, legacy, and reproductive rights history dominates the piece."
341,537878c7057eac8f,Bloomberg,print_digital,en,Supreme Court Asked to Allow Mail Ballot Curbs for Midterms,https://www.bloomberg.com/news/articles/2026-09-03/doj-asks-supreme-court-to-allow-mail-ballot-curbs-for-midterms,2026-09-03T20:17:39+00:00,0.00008597,0.079000,0.200000,0.00000136,22525.000000,,2,3,1,6,democracy_elections:0.90; government_leadership:0.10,score_v2,ok,summary_only,paywalled,57,rss_summary,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Headline/summary only, no article body. States basic facts of a legal filing with minimal reasoning or emotional language; no named speaker beyond institutional actors, limiting authority assessment."
342,5f9b5c031ddbff6f,Daily Kos,print_digital,en,Trump trashes Paxton—but wants Texans to still vote for him,https://www.dailykos.com/stories/2026/9/3/800093440/news/trump-trashes-paxton-but-wants-texans-to-still-vote-for-him/,2026-09-03T15:30:00+00:00,0.00002047,0.123500,0.533333,0.00000135,5362.500000,,5,6,5,16,democracy_elections:0.55; government_leadership:0.35; ethics_morality:0.10,score_v2,scope_global,full_text,open,544,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Article cites specific facts—Paxton's impeachment charges, fraud settlement, divorce filing, poll numbers—while quoting Trump directly. Author's own authority stems from journalistic reporting/analysis, not personal celebrity. Moderate emotional tone via mocking language ('humiliating,' 'backhanded compliments') and derision of Paxton's scandals and Trump's contradictions."
343,a4d417d9b179ca88,Salon,print_digital,en,09 / 03 / laura-loomer-is-magas-last-woman-standing,https://www.salon.com/2026/09/03/laura-loomer-is-magas-last-woman-standing/,2026-09-03T10:30:42+00:00,0.00001403,0.169000,0.566667,0.00000134,3675.000000,,5,4,8,17,government_leadership:0.55; immigration:0.15; race_relations:0.15; other:0.15,score_v2,scope_global,full_text,open,1336,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Opinion piece citing named examples, incidents, and quotes to build a causal narrative about Loomer's influence, but one-sided and interpretive. No personal authority claimed beyond outlet's reporting. Language is vivid, contemptuous, and emotionally charged throughout ('feral,' 'cannibalism,' 'cruelty, bigotry')."
344,d9fb42c1af1ee0a0,The New Yorker,print_digital,en,Mark Zuckerberg’s Social Reckoning,https://www.newyorker.com/magazine/2026/09/07/mark-zuckerbergs-social-reckoning,2026-08-30T10:00:00+00:00,0.00003922,0.056500,0.600000,0.00000133,10275.000000,,7,6,5,18,ai_technology:0.55; government_leadership:0.15; democracy_elections:0.15; ethics_morality:0.15,score_v2,scope_global,full_text,paywalled,1073,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Essay marshals legal evidence, settlement details, testimony, and comparisons (tobacco, Aschenbrenner, OpenAI) to build a reasoned argument about tech accountability. Author writes with New Yorker institutional authority but no strong personal brand cited. Moderate emotional charge via 'reckoning,' 'scourge,' 'panicked public response' language, though largely analytical."
345,335ba4d25f3207b0,The Epoch Times,print_digital,en,"3 Hurricanes Churn in Pacific, One May Head for Hawaii",https://www.theepochtimes.com/science/3-hurricanes-churn-in-pacific-one-may-head-for-hawaii-6083015,2026-09-03T18:12:19+00:00,0.00003850,0.064000,0.533333,0.00000131,10087.500000,,8,6,2,16,other:0.90; environment:0.10,score_v2,scope_global,full_text,open,495,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Straightforward weather reporting with specific data (wind speeds, distances, forecasts) from NHC. Institutional authority (NHC) lends credibility. Minimal emotional language; factual and technical, though safety warnings add mild urgency for Hawaii residents."
346,6af7c213384e13d2,The Daily Wire,print_digital,en,news / prairie-populist-dem-josh-turek-voted-to-hurt-one-of-his-states-biggest-industries,https://www.dailywire.com/news/prairie-populist-dem-josh-turek-voted-to-hurt-one-of-his-states-biggest-industries,2026-09-03T11:39:15+00:00,0.00001703,0.176500,0.433333,0.00000130,4462.500000,,5,4,4,13,economy:0.40; government_leadership:0.25; democracy_elections:0.25; other:0.10,score_v2,scope_global,full_text,open,736,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Article cites a specific bill, vote tally, polling data, and quotes from a farmer and campaign officials, offering moderate evidence but one-sided framing against Turek. No named institutional authority beyond quoted sources; moderate emotional charge via 'disaster,' 'disqualifying,' 'fake meat' language."
347,d59ddfdefcf60fa0,Newsweek,print_digital,en,Mamdani cracks down on AI in schools: Map of districts taking similar steps,https://www.newsweek.com/mamdani-cracks-down-on-ai-in-schools-map-of-districts-taking-similar-steps-12397563,2026-09-03T04:45:00+00:00,0.00008822,0.034000,0.433333,0.00000130,23112.500000,,6,5,2,13,education:0.60; ai_technology:0.35; government_leadership:0.05,score_v2,scope_global,full_text,paywalled,1223,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","News report presenting policy details, quotes from officials, comparative district data, and expert commentary on risks/benefits. No single dominant authoritative voice for the outlet's own audience; moderate evidence via examples and expert quotes; low emotional intensity, mostly factual reporting."
348,68145db5a945baee,TheBlaze,print_digital,en,the-glenn-beck-program / glenn-beck-reacts-to-mamdani-fans-idiotic-grocery-store-plot,https://www.theblaze.com/shows/the-glenn-beck-program/glenn-beck-reacts-to-mamdani-fans-idiotic-grocery-store-plot,2026-09-03T17:30:00+00:00,0.00001174,0.220000,0.500000,0.00000129,3075.000000,,3,6,6,15,economy:0.60; government_leadership:0.30; other:0.10,score_v2,scope_global,full_text,open,409,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Beck mocks a viral clip, offers speculative interpretation of intent rather than evidence, and uses mocking laughter and rhetorical framing ('seize the means of production'). His established talk-radio persona gives him ethos with his audience, but argument is thin and emotionally charged."
349,901808a36e2512b0,Breitbart,print_digital,en,"New York City Schools Bans Student AI Use Through 8th Grade, Limit Screentime in Classroom",https://www.breitbart.com/tech/2026/09/03/new-york-city-schools-bans-student-ai-use-through-8th-grade-limit-screentime-in-classroom/,2026-09-03T15:44:24+00:00,0.00013268,0.029000,0.333333,0.00000128,34762.500000,,5,3,2,10,ai_technology:0.60; education:0.35; government_leadership:0.05,score_v2,ok,full_text,open,516,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Straight news report on NYC DOE policy, citing officials, timeline of guidance revisions, union and coalition positions. Some evidence/detail but no deep analysis. Ends with promotional plug for Breitbart writer's book, adding partisan framing without changing factual tone."
350,4708dea65c998729,Business Insider,print_digital,en,largest-college-enrollment-every-state-2026-8,https://www.businessinsider.com/largest-college-enrollment-every-state-2026-8,2026-09-03T17:01:11+00:00,0.00012739,0.030000,0.333333,0.00000127,33375.000000,,6,4,0,10,education:1.00,score_v2,ok,full_text,open,1228,rss_fulltext,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Purely data-driven ranking using Department of Education IPEDS statistics, methodology explained, no emotional language, no named authoritative speaker beyond outlet compiling public data."
351,bd6c86838ab6d915,Bloomberg,print_digital,en,Alger EVP: Still Massive Opportunity for AI,https://www.bloomberg.com/news/videos/2026-09-03/alger-evp-still-massive-opportunity-for-ai-video,2026-09-03T22:45:53+00:00,0.00008597,0.054000,0.266667,0.00000124,22525.000000,,2,5,1,8,ai_technology:0.80; economy:0.20,score_v2,ok,summary_only,paywalled,79,rss_summary,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Brief summary of an expert's investment commentary on AI infrastructure; minimal argument detail, moderate professional authority as a portfolio manager, and largely flat, non-emotional tone typical of financial market commentary."
352,de9ce2abdcf874a2,Vox,print_digital,en,politics / 501428 / supreme-court-ballroom-standing-national-park-service-trump,https://www.vox.com/politics/501428/supreme-court-ballroom-standing-national-park-service-trump,2026-08-31T21:45:00+00:00,0.00001312,0.136000,0.633333,0.00000113,3437.500000,,8,6,5,19,democracy_elections:0.60; government_leadership:0.40,score_v2,ok,full_text,open,787,rss_fulltext,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Detailed legal analysis with case citations (Lujan, Friends of Earth), quotes from dissent, and reasoned critique of majority's logic. Author writes as legal analyst with clear expertise/authority in court reporting. Sardonic, indignant tone ('Welp') adds moderate emotional charge without dominating substance."
353,0830d9b7b91035e6,Axios,print_digital,en,09 / 03 / brain-implants-elon-musk-neuralink-china-us,https://www.axios.com/2026/09/03/brain-implants-elon-musk-neuralink-china-us,2026-09-03T09:30:07+00:00,0.00005940,0.039500,0.466667,0.00000109,15562.500000,,7,5,2,14,ai_technology:0.55; healthcare:0.25; foreign_policy_wars:0.20,score_v2,ok,full_text,open,646,rss_fulltext,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Axios-style news brief citing a Congressional commission report, quotes from Sen. Young, regulatory details, and specific facts about BCI development timelines and China's approvals. Measured, low-emotion tone; authority derives from institutional sourcing rather than a personal voice."
354,93087043f22353ac,ProPublica,print_digital,en,article / western-north-carolina-helene-mobile-home-fema-recovery,https://www.propublica.org/article/western-north-carolina-helene-mobile-home-fema-recovery,2026-09-02T09:00:00+00:00,0.00001283,0.112000,0.733333,0.00000105,3362.500000,,8,6,8,22,government_leadership:0.35; poverty_homelessness:0.30; environment:0.20; other:0.15,score_v2,scope_global,full_text,open,2917,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Investigative piece with extensive documented history, interviews, policy detail, and comparative examples across states—strong evidentiary structure. ProPublica/Assembly byline gives institutional credibility though no single authoritative narrator voice. Vivid survivor narratives (drowning wife, flooding) generate high emotional intensity throughout."
355,a65d80125bf2c6eb,TheBlaze,print_digital,en,51% chance Democrats sweep House and Senate — and it’s the Republicans' fault,https://www.theblaze.com/shows/pat-gray-unleashed/51-chance-dems-sweep-house-senate-its-republicans-fault,2026-09-03T14:00:00+00:00,0.00001174,0.207000,0.433333,0.00000105,3075.000000,,2,6,5,13,government_leadership:0.55; economy:0.25; democracy_elections:0.20,score_v2,scope_global,full_text,open,418,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Mostly assertion and frustration about congressional dysfunction, citing a betting-market prediction rather than substantive evidence. Pat Gray's established BlazeTV following gives moderate ethos with his audience. Pathos is moderate via exasperated, sarcastic tone ('unacceptable,' 'insane').”}"
356,859b309b9bfb88e1,The Free Press,print_digital,en,p / rep-tom-suozzi-democratic-party-dsa-threat,https://www.thefp.com/p/rep-tom-suozzi-democratic-party-dsa-threat,2026-09-01T23:42:48+00:00,0.00000835,0.207000,0.600000,0.00000104,2187.500000,,5,7,6,18,government_leadership:0.55; economy:0.25; democracy_elections:0.20,score_v2,ok,full_text,open,304,rss_fulltext,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Suozzi cites DSA membership numbers and historical parallels (Goldwater 1964) to argue against far-left drift, but reasoning is thin and one-sided. As a sitting Congressman with a defined faction, he has credible ethos with intra-party moderates. Language like 'mad as hell' and warnings of danger add moderate emotional charge."
357,2c4c23c55765ec49,The Daily Wire,print_digital,en,news / no-kings-network-exposed-as-major-force-behind-data-center-flock-opposition,https://www.dailywire.com/news/no-kings-network-exposed-as-major-force-behind-data-center-flock-opposition,2026-09-03T12:26:28+00:00,0.00001703,0.097000,0.600000,0.00000099,4462.500000,,7,6,5,18,ai_technology:0.30; government_leadership:0.25; foreign_policy_wars:0.20; crime:0.15; democracy_elections:0.10,score_v2,scope_global,full_text,open,873,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Article cites a commissioned report with statistics, quotes officials and an ex-NSA official, and details congressional probes, giving solid evidentiary structure. Ethos comes from named institutions and officials but no single authoritative narrator. Pathos moderate via charged terms like 'cognitive warfare' and 'Marxist network.'"
358,fb0dbdae7967c05a,ProPublica,print_digital,en,article / doj-blocks-charges-ice-agent-minneapolis-julio-cesar-sosa-celis,https://www.propublica.org/article/doj-blocks-charges-ice-agent-minneapolis-julio-cesar-sosa-celis,2026-09-03T01:14:00+00:00,0.00001283,0.127500,0.600000,0.00000098,3362.500000,,7,6,5,18,immigration:0.45; government_leadership:0.30; crime:0.15; democracy_elections:0.10,score_v2,scope_global,full_text,open,918,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Investigative piece citing internal emails, named prosecutor, court documents, prior ProPublica analysis, and officials' statements. ProPublica's institutional authority and direct quotes give solid ethos; emotionally charged details (children present, shooting through door) add moderate pathos without dominating the reporting."
359,fa90ccfd80a56564,Salon,print_digital,en,09 / 03 / trumps-cruelest-act-yet-haitians-are-being-deported-into-total-chaos,https://www.salon.com/2026/09/03/trumps-cruelest-act-yet-haitians-are-being-deported-into-total-chaos/,2026-09-03T13:00:52+00:00,0.00001403,0.114500,0.600000,0.00000096,3675.000000,,5,4,9,18,immigration:0.70; foreign_policy_wars:0.15; government_leadership:0.10; ethics_morality:0.05,score_v2,scope_global,full_text,open,1512,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Uses State Dept advisories, Reuters death tolls, TPS history and quotes from Homan/Vance/Trump as evidence, but frames one-sidedly as opinion column. No named institutional voice beyond Salon; emotionally charged with terms like 'ethnic cleansing,' a suicide anecdote, and moral condemnation throughout."
360,e2ebb9fc4f4eca3a,Daily Kos,print_digital,en,Markwayne Mullin is clearly in over his head,https://www.dailykos.com/stories/2026/9/3/800093471/videos/markwayne-mullin-pregnant-immigrants-fox-news/,2026-09-03T17:30:00+00:00,0.00002047,0.101500,0.433333,0.00000090,5362.500000,,2,4,7,13,immigration:0.75; crime:0.15; government_leadership:0.10,score_v2,scope_global,full_text,open,323,page_fetch,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Mocking opinion piece attacking Mullin's competence and honesty; relies on ridicule and name-calling rather than evidence, with minimal counter-argument beyond quoting and mocking his claims. Author's authority derives from partisan outlet credibility only."
361,a77abfb6692d15e3,The Daily Wire,print_digital,en,news / watch-crying-girls-heartbreaking-admission-after-illegal-immigrants-pour-in,https://www.dailywire.com/news/watch-crying-girls-heartbreaking-admission-after-illegal-immigrants-pour-in,2026-09-03T12:25:01+00:00,0.00001703,0.104500,0.500000,0.00000089,4462.500000,,3,3,9,15,immigration:0.65; crime:0.20; government_leadership:0.15,score_v2,scope_global,full_text,open,410,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Relies on emotive anecdote (crying girl), dramatic language, and crime statistics from a prosecutor to build a vivid, fear-driven narrative. Little engagement with counterarguments or policy nuance; sourcing thin, no named byline outlet authority beyond generic news framing."
362,f6e7a29e5b7eae71,TheBlaze,print_digital,en,news / cnn-torched-for-slanderous-attempt-to-blame-deadly-nepal-floods-on-you-guessed-it-the-trump-admin,https://www.theblaze.com/news/cnn-torched-for-slanderous-attempt-to-blame-deadly-nepal-floods-on-you-guessed-it-the-trump-admin,2026-09-03T15:40:00+00:00,0.00001174,0.131000,0.566667,0.00000087,3075.000000,,6,5,6,17,government_leadership:0.35; other:0.25; foreign_policy_wars:0.20; environment:0.20,score_v2,scope_global,full_text,open,792,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","Blaze News marshals quotes, State Dept rebuttal, scientist statements, and edit history to argue CNN unfairly blamed Trump for Nepal floods. Moderate evidence-based argument, outlet/partisan ethos, notable indignant tone ('propaganda,' 'slanderous,' 'idiotic') driving emotional intensity."
363,ec9483534eb5d9b4,ProPublica,print_digital,en,article / ice-detention-judges-habeas-petitions,https://www.propublica.org/article/ice-detention-judges-habeas-petitions,2026-09-03T09:00:00+00:00,0.00001283,0.101000,0.666667,0.00000086,3362.500000,,8,6,6,20,immigration:0.55; democracy_elections:0.35; government_leadership:0.10,score_v2,scope_global,full_text,open,2596,rss_fulltext,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read; flat across the outlet's items (no per-item signal)","ProPublica presents extensive data analysis of 70,000+ habeas cases, district comparisons, named judges, statistics, and multiple sourced quotes from lawyers, DHS, and detainees' families. Investigative outlet authority is solid but not personality-driven. Pathos moderate via personal testimony from Nafikov family and detainee suffering."
